scan_idx,label,slice_idx,question_type,question,answer,original_question,spacing_info
amos_0388,bladder,14,diameter,What is the size of the bladder in millimeters as shown in this image?,88,What is the diameter of bladder in mm in this image?,"(0.4817708432674408, 0.4817708432674408)"
amos_0284,spatial_rightmost,137,extreme_position,Which organ is located on the far right side of the image?,spleen,Which organ is right most in this image?,"(0.658203125, 0.658203125)"
amos_0076,left kidney,62,surface_area,What is the surface area of the left kidney measured in square millimeters in this image?,1675,What is the surface area of left kidney in mm2 in this image?,"(0.4830729067325592, 0.4830729067325592)"
amos_0294,multiple_organs,161,is_function_present,Does the image show any organs that belong to the reproductive system?,No,Is there any organ that is part of the reproductive system in the image?,"(0.677734375, 0.677734375)"
amos_0332,spleen,178,average_intensity,What is the mean intensity value of the spleen in this image?,49,What is the average intensity of spleen in this image?,"(0.68359375, 0.68359375)"
amos_0380,multiple_organs,78,target_count,How many different organs can be seen in this image?,11,How many organs are present in this image?,"(0.6067708134651184, 0.6067708134651184)"
amos_0171,multiple_organs,72,is_function_present,Does the image show any organ responsible for digesting food?,Yes,Is there any organ that digests food in the image?,"(0.6510416865348816, 0.6510416865348816)"
amos_0190,left kidney vs pancreas,71,is_larger,Is the left kidney bigger than the pancreas?,Yes,Is left kidney larger than pancreas?,"(0.7929999828338623, 0.7929999828338623)"
amos_0404,spleen,83,average_intensity,What is the average intensity of spleen in this image?,43,What is the average intensity of spleen in this image?,"(0.53515625, 0.53515625)"
amos_0077,kidneys,75,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.6510416865348816, 0.6510416865348816)"
amos_0323,adrenal_glands,173,target_count,How many adrenal glands are present in this image?,2,How many adrenal glands are present in this image?,"(0.685546875, 0.685546875)"
amos_0336,spatial_bottommost,157,extreme_position,Which organ is located at the lowest position in this image?,stomach,Which organ is lower most in this image?,"(0.79296875, 0.79296875)"
amos_0328,postcava,80,surface_area,What is the surface area of the postcaval structure measured in square millimeters in this image?,550,What is the surface area of postcava in mm2 in this image?,"(0.6796875, 0.6796875)"
amos_0400,postcava,69,surface_area,What is the postcaval surface area measured in square millimeters in this image?,526,What is the surface area of postcava in mm2 in this image?,"(0.4674479067325592, 0.4674479067325592)"
amos_0087,spleen vs aorta,67,is_larger,Is the spleen bigger than the aorta?,Yes,Is spleen larger than aorta?,"(0.7820000052452087, 0.7820000052452087)"
amos_0073,spatial_topmost,73,extreme_position,Which organ is located at the top of this image?,right kidney,Which organ is upper most in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0233,right kidney,147,diameter,"What is the size, in millimeters, of the right kidney shown in this image?",63,What is the diameter of right kidney in mm in this image?,"(0.705078125, 0.705078125)"
amos_0092,left adrenal gland,73,diameter,What is the diameter of left adrenal gland in mm in this image?,25,What is the diameter of left adrenal gland in mm in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0214,multiple_organs,179,is_function_present,Is there any organ that produces bile in the image?,Yes,Is there any organ that produces bile in the image?,"(0.8515625, 0.8515625)"
amos_0189,pancreas,70,surface_area,What is the pancreatic surface area measured in square millimeters in this image?,1549,What is the surface area of pancreas in mm2 in this image?,"(0.4791666567325592, 0.4791666567325592)"
amos_0216,stomach_left_of_spleen,182,relative_position,What organ is located on the left side of the spleen in this image?,stomach,Which organ is to the left of spleen in this image?,"(0.658203125, 0.658203125)"
amos_0021,prostate/uterus,12,surface_area,What is the measured surface area of the prostate or uterus in square millimeters in this image?,899,What is the surface area of prostate/uterus in mm2 in this image?,"(0.8920000195503235, 0.8920000195503235)"
amos_0387,liver,76,average_intensity,What is the mean intensity value of the liver in this image?,51,What is the average intensity of liver in this image?,"(0.58203125, 0.58203125)"
amos_0264,kidneys,169,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.728515625, 0.728515625)"
amos_0408,kidneys,71,target_count,How many kidneys are present in this image?,1,How many kidneys are present in this image?,"(0.6145833134651184, 0.6145833134651184)"
amos_0185,aorta,101,average_intensity,What is the average intensity of aorta in this image?,279,What is the average intensity of aorta in this image?,"(0.9300000071525574, 0.9300000071525574)"
amos_0007,aorta_left_of_stomach,79,relative_position,Which organ is to the left of stomach in this image?,aorta,Which organ is to the left of stomach in this image?,"(0.5182291865348816, 0.5182291865348816)"
amos_0333,gall bladder,147,average_intensity,What is the average intensity of gall bladder in this image?,68,What is the average intensity of gall bladder in this image?,"(0.69921875, 0.69921875)"
amos_0059,spleen vs aorta,46,is_brighter,Is the spleen more bright than the aorta on the image?,No,Is spleen brighter than aorta?,"(0.7820000052452087, 0.7820000052452087)"
amos_0009,pancreas,33,average_intensity,What is the average intensity of pancreas in this image?,98,What is the average intensity of pancreas in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0092,stomach_left_of_left kidney,71,relative_position,Which organ is to the left of left kidney in this image?,stomach,Which organ is to the left of left kidney in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0401,multiple_organs,66,is_function_present,Does the image show any organ responsible for returning blood to the heart?,No,Is there any organ that carries blood back to the heart in the image?,"(0.5247395634651184, 0.5247395634651184)"
amos_0156,none_right_of_left kidney,51,relative_position,Which organ is to the right of left kidney in this image?,none,Which organ is to the right of left kidney in this image?,"(0.746999979019165, 0.746999979019165)"
amos_0350,kidneys,161,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.62109375, 0.62109375)"
amos_0024,multiple_organs,68,is_function_present,Is there an organ in the image that transports oxygen-rich blood from the heart?,Yes,Is there any organ that carries oxygenated blood from the heart in the image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0350,left kidney,151,diameter,"What is the size, in millimeters, of the left kidney shown in this image?",54,What is the diameter of left kidney in mm in this image?,"(0.62109375, 0.62109375)"
amos_0158,multiple_organs,66,is_function_present,Does the image show any organ responsible for producing urine?,Yes,Is there any organ that produces urine in the image?,"(0.781000018119812, 0.781000018119812)"
amos_0071,spleen vs aorta,69,is_brighter,Is the spleen more bright than the aorta on the image?,No,Is spleen brighter than aorta?,"(0.8349999785423279, 0.8349999785423279)"
amos_0286,adrenal_glands,158,target_count,How many adrenal glands are present in this image?,0,How many adrenal glands are present in this image?,"(0.703125, 0.703125)"
amos_0326,esophagus,99,average_intensity,What is the mean intensity value of the esophagus in this image?,-20,What is the average intensity of esophagus in this image?,"(0.5859375, 0.5859375)"
amos_0186,spatial_leftmost,63,extreme_position,Which organ is left most in this image?,liver,Which organ is left most in this image?,"(0.4661458432674408, 0.4661458432674408)"
amos_0409,prostate/uterus,14,surface_area,What is the measured surface area of the prostate or uterus in square millimeters in this image?,1217,What is the surface area of prostate/uterus in mm2 in this image?,"(0.609375, 0.609375)"
amos_0248,gall bladder,162,diameter,What is the size of the gallbladder in millimeters as seen in this image?,70,What is the diameter of gall bladder in mm in this image?,"(0.689453125, 0.689453125)"
amos_0018,aorta,95,diameter,What is the aorta's diameter in millimeters as shown in this image?,26,What is the diameter of aorta in mm in this image?,"(0.8460000157356262, 0.8460000157356262)"
amos_0320,multiple_organs,143,target_count,How many different organs can be seen in this image?,9,How many organs are present in this image?,"(0.625, 0.625)"
amos_0377,multiple_organs,72,is_function_present,Does the image show an organ that stores bile?,Yes,Is there any organ that stores bile in the image?,"(0.4479166567325592, 0.4479166567325592)"
amos_0364,stomach,83,diameter,What is the size of the stomach in millimeters as shown in this image?,107,What is the diameter of stomach in mm in this image?,"(0.48046875, 0.48046875)"
amos_0242,liver vs spleen,180,is_brighter,Is liver brighter than spleen?,No,Is liver brighter than spleen?,"(0.646484375, 0.646484375)"
amos_0259,multiple_organs,50,target_count,How many different organs can be seen in this image?,10,How many organs are present in this image?,"(0.6523439884185791, 0.6523439884185791)"
amos_0351,pancreas_right_of_aorta,256,relative_position,Which organ is to the right of aorta in this image?,pancreas,Which organ is to the right of aorta in this image?,"(0.703125, 0.703125)"
amos_0112,multiple_organs,75,is_function_present,Is there any organ that produces urine in the image?,Yes,Is there any organ that produces urine in the image?,"(0.6184895634651184, 0.6184895634651184)"
amos_0086,aorta,74,average_intensity,What is the average intensity of aorta in this image?,241,What is the average intensity of aorta in this image?,"(0.8579999804496765, 0.8579999804496765)"
amos_0019,aorta,82,surface_area,What is the aorta's surface area in square millimeters as shown in this image?,358,What is the surface area of aorta in mm2 in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0071,right kidney vs liver,69,is_brighter,Is the right kidney more hyperintense compared to the liver?,Yes,Is right kidney brighter than liver?,"(0.8349999785423279, 0.8349999785423279)"
amos_0010,spatial_bottommost,69,extreme_position,Which organ is lower most in this image?,gall bladder,Which organ is lower most in this image?,"(0.8080000281333923, 0.8080000281333923)"
amos_0223,postcava_left_of_stomach,148,relative_position,What organ is located on the left side of the stomach in this image?,postcava,Which organ is to the left of stomach in this image?,"(0.650390625, 0.650390625)"
amos_0337,none_right_of_left kidney,145,relative_position,Which organ is located on the right side of the left kidney in this image?,none,Which organ is to the right of left kidney in this image?,"(0.748046875, 0.748046875)"
amos_0115,esophagus,80,diameter,What is the diameter of esophagus in mm in this image?,16,What is the diameter of esophagus in mm in this image?,"(0.47265625, 0.47265625)"
amos_0409,aorta,81,surface_area,What is the aorta's surface area in square millimeters as shown in this image?,498,What is the surface area of aorta in mm2 in this image?,"(0.609375, 0.609375)"
amos_0231,kidneys,70,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.7675780057907104, 0.7675780057907104)"
amos_0171,liver,83,surface_area,What is the surface area of liver in mm2 in this image?,15764,What is the surface area of liver in mm2 in this image?,"(0.6510416865348816, 0.6510416865348816)"
amos_0140,spleen vs left kidney,75,is_larger,Is spleen larger than left kidney?,No,Is spleen larger than left kidney?,"(0.5989583134651184, 0.5989583134651184)"
amos_0157,gall bladder,70,average_intensity,What is the average intensity of gall bladder in this image?,31,What is the average intensity of gall bladder in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0076,bladder,17,diameter,What is the diameter of bladder in mm in this image?,102,What is the diameter of bladder in mm in this image?,"(0.4830729067325592, 0.4830729067325592)"
amos_0405,spatial_leftmost,60,extreme_position,Which organ is positioned farthest to the left in this image?,liver,Which organ is left most in this image?,"(0.5885416865348816, 0.5885416865348816)"
amos_0047,left adrenal gland,72,surface_area,What is the surface area of the left adrenal gland measured in square millimeters in this image?,116,What is the surface area of left adrenal gland in mm2 in this image?,"(0.5885416865348816, 0.5885416865348816)"
amos_0117,right kidney_left_of_postcava,43,relative_position,Which organ is located on the left side of the postcava in this image?,right kidney,Which organ is to the left of postcava in this image?,"(0.5078125, 0.5078125)"
amos_0401,multiple_organs,66,target_count,How many different organs can be seen in this image?,11,How many organs are present in this image?,"(0.5247395634651184, 0.5247395634651184)"
amos_0066,duodenum_right_of_right kidney,63,relative_position,Which structure is located to the right of the right kidney in this image?,duodenum,Which organ is to the right of right kidney in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0063,multiple_organs,85,is_function_present,Does the image show any organs that belong to the reproductive system?,No,Is there any organ that is part of the reproductive system in the image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0045,right kidney,59,diameter,What is the diameter of right kidney in mm in this image?,59,What is the diameter of right kidney in mm in this image?,"(0.6510416865348816, 0.6510416865348816)"
amos_0226,none_right_of_spleen,163,relative_position,Which organ is located on the right side of the spleen in this image?,none,Which organ is to the right of spleen in this image?,"(0.6171875, 0.6171875)"
amos_0085,multiple_organs,67,is_function_present,Does the image show any organ responsible for storing bile?,Yes,Is there any organ that stores bile in the image?,"(0.7020000219345093, 0.7020000219345093)"
amos_0057,right kidney vs liver,60,is_larger,Is right kidney larger than liver?,No,Is right kidney larger than liver?,"(0.6510416865348816, 0.6510416865348816)"
amos_0113,right kidney_left_of_liver,61,relative_position,What organ is located on the left side of the liver in this image?,right kidney,Which organ is to the left of liver in this image?,"(0.6471354365348816, 0.6471354365348816)"
amos_0239,duodenum,146,surface_area,What is the measured surface area of the duodenum in square millimeters in this image?,1044,What is the surface area of duodenum in mm2 in this image?,"(0.66796875, 0.66796875)"
amos_0402,pancreas,65,average_intensity,What is the average intensity of pancreas in this image?,13,What is the average intensity of pancreas in this image?,"(0.5520833134651184, 0.5520833134651184)"
amos_0087,spleen vs aorta,67,is_brighter,Is the spleen more bright than the aorta on the image?,Yes,Is spleen brighter than aorta?,"(0.7820000052452087, 0.7820000052452087)"
amos_0367,stomach,75,diameter,What is the size of the stomach in millimeters as shown in this image?,104,What is the diameter of stomach in mm in this image?,"(0.6510416865348816, 0.6510416865348816)"
amos_0140,spleen vs left kidney,75,is_brighter,Is spleen brighter than left kidney?,Yes,Is spleen brighter than left kidney?,"(0.5989583134651184, 0.5989583134651184)"
amos_0123,left kidney,46,average_intensity,What is the mean intensity value of the left kidney in this image?,153,What is the average intensity of left kidney in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0321,gall bladder vs liver,134,is_brighter,Is gall bladder brighter than liver?,No,Is gall bladder brighter than liver?,"(0.71875, 0.71875)"
amos_0276,left kidney vs postcava,124,is_brighter,Is the left kidney more hyperintense compared to the postcava?,Yes,Is left kidney brighter than postcava?,"(0.611328125, 0.611328125)"
amos_0058,spleen,74,diameter,What is the spleen's diameter in millimeters as shown in this image?,96,What is the diameter of spleen in mm in this image?,"(0.5989583134651184, 0.5989583134651184)"
amos_0054,spatial_rightmost,70,extreme_position,Which organ is located on the far right side in this image?,spleen,Which organ is right most in this image?,"(0.609375, 0.609375)"
amos_0280,duodenum_left_of_aorta,128,relative_position,What organ is located on the left side of the aorta in this image?,duodenum,Which organ is to the left of aorta in this image?,"(0.6308590173721313, 0.6308590173721313)"
amos_0179,esophagus,88,diameter,What is the esophageal diameter measured in millimeters on this image?,21,What is the diameter of esophagus in mm in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0307,spatial_rightmost,171,extreme_position,Which organ is located on the far right side of the image?,spleen,Which organ is right most in this image?,"(0.671875, 0.671875)"
amos_0097,stomach,74,diameter,What is the size of the stomach in millimeters as shown in this image?,67,What is the diameter of stomach in mm in this image?,"(1.0679999589920044, 1.0679999589920044)"
amos_0038,liver,80,surface_area,What is the liver's surface area in square millimeters as shown in the image?,16875,What is the surface area of liver in mm2 in this image?,"(0.781000018119812, 0.781000018119812)"
amos_0326,right kidney,55,average_intensity,What is the mean intensity value of the right kidney in this image?,139,What is the average intensity of right kidney in this image?,"(0.5859375, 0.5859375)"
amos_0363,spatial_rightmost,62,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.5078125, 0.5078125)"
amos_0156,multiple_organs,51,is_function_present,Does the image show an organ involved in regulating stress hormones?,No,Is there any organ that helps control stress hormones in the image?,"(0.746999979019165, 0.746999979019165)"
amos_0047,adrenal_glands,70,target_count,How many adrenal glands are present in this image?,1,How many adrenal glands are present in this image?,"(0.5885416865348816, 0.5885416865348816)"
amos_0190,left kidney vs pancreas,71,is_brighter,Is left kidney brighter than pancreas?,Yes,Is left kidney brighter than pancreas?,"(0.7929999828338623, 0.7929999828338623)"
amos_0076,adrenal_glands,60,target_count,How many adrenal glands can be seen in this image?,1,How many adrenal glands are present in this image?,"(0.4830729067325592, 0.4830729067325592)"
amos_0135,postcava,88,surface_area,What is the postcaval surface area in square millimeters in this image?,907,What is the surface area of postcava in mm2 in this image?,"(0.9879999756813049, 0.9879999756813049)"
amos_0361,esophagus,72,diameter,What is the esophageal diameter measured in millimeters on this image?,25,What is the diameter of esophagus in mm in this image?,"(0.52734375, 0.52734375)"
amos_0173,pancreas,68,diameter,What is the size of the pancreas in millimeters as shown in this image?,81,What is the diameter of pancreas in mm in this image?,"(0.6341145634651184, 0.6341145634651184)"
amos_0161,spleen vs stomach,46,is_larger,Is the spleen bigger than the stomach?,No,Is spleen larger than stomach?,"(0.8579999804496765, 0.8579999804496765)"
amos_0242,liver vs spleen,180,is_larger,Is the liver bigger than the spleen?,Yes,Is liver larger than spleen?,"(0.646484375, 0.646484375)"
amos_0088,multiple_organs,50,target_count,How many different organs can be seen in this image?,9,How many organs are present in this image?,"(0.746999979019165, 0.746999979019165)"
amos_0029,spleen vs aorta,63,is_larger,Is the spleen bigger than the aorta?,Yes,Is spleen larger than aorta?,"(0.7820000052452087, 0.7820000052452087)"
amos_0276,left kidney vs postcava,124,is_larger,Is the left kidney bigger than the inferior vena cava?,Yes,Is left kidney larger than postcava?,"(0.611328125, 0.611328125)"
amos_0125,left adrenal gland,75,diameter,What is the diameter of left adrenal gland in mm in this image?,25,What is the diameter of left adrenal gland in mm in this image?,"(0.5546875, 0.5546875)"
amos_0069,stomach,80,diameter,What is the size of the stomach in millimeters as shown in this image?,179,What is the diameter of stomach in mm in this image?,"(0.8009999990463257, 0.8009999990463257)"
amos_0152,liver,65,surface_area,What is the liver's surface area in square millimeters as shown in the image?,13109,What is the surface area of liver in mm2 in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0161,left kidney,48,surface_area,What is the surface area of left kidney in mm2 in this image?,1622,What is the surface area of left kidney in mm2 in this image?,"(0.8579999804496765, 0.8579999804496765)"
amos_0097,right adrenal gland,68,average_intensity,What is the average intensity of right adrenal gland in this image?,67,What is the average intensity of right adrenal gland in this image?,"(1.0679999589920044, 1.0679999589920044)"
amos_0294,multiple_organs,161,is_function_present,Is there an organ visible in the image that transports oxygen-rich blood from the heart?,Yes,Is there any organ that carries oxygenated blood from the heart in the image?,"(0.677734375, 0.677734375)"
amos_0081,adrenal_glands,69,target_count,How many adrenal glands can be seen in this image?,1,How many adrenal glands are present in this image?,"(0.5533854365348816, 0.5533854365348816)"
amos_0078,spleen vs right kidney,71,is_larger,Is the spleen bigger than the right kidney?,Yes,Is spleen larger than right kidney?,"(0.7820000052452087, 0.7820000052452087)"
amos_0198,bladder,8,surface_area,What is the bladder's surface area in square millimeters as shown in the image?,3714,What is the surface area of bladder in mm2 in this image?,"(0.8809999823570251, 0.8809999823570251)"
amos_0392,multiple_organs,63,is_function_present,Is there any organ that regulates blood sugar in the image?,Yes,Is there any organ that regulates blood sugar in the image?,"(0.5364583134651184, 0.5364583134651184)"
amos_0401,left kidney vs pancreas,66,is_brighter,Is the left kidney more hyperintense compared to the pancreas?,No,Is left kidney brighter than pancreas?,"(0.5247395634651184, 0.5247395634651184)"
amos_0344,multiple_organs,148,is_function_present,Does the image show any organ responsible for digesting food?,Yes,Is there any organ that digests food in the image?,"(0.5859375, 0.5859375)"
amos_0379,spatial_rightmost,77,extreme_position,Which organ is located farthest to the right in this image?,spleen,Which organ is right most in this image?,"(0.6080729365348816, 0.6080729365348816)"
amos_0406,spatial_topmost,53,extreme_position,Which organ is located at the top of the image?,left kidney,Which organ is upper most in this image?,"(0.5559895634651184, 0.5559895634651184)"
amos_0021,stomach_right_of_aorta,70,relative_position,Which structure is located to the right of the aorta in this image?,stomach,Which organ is to the right of aorta in this image?,"(0.8920000195503235, 0.8920000195503235)"
amos_0029,spleen vs aorta,63,is_brighter,Is the spleen more bright than the aorta on the image?,No,Is spleen brighter than aorta?,"(0.7820000052452087, 0.7820000052452087)"
amos_0126,multiple_organs,51,target_count,How many different organs can be seen in this image?,9,How many organs are present in this image?,"(0.6890000104904175, 0.6890000104904175)"
amos_0288,right adrenal gland,74,average_intensity,What is the mean intensity value of the right adrenal gland in this image?,47,What is the average intensity of right adrenal gland in this image?,"(0.7460939884185791, 0.7460939884185791)"
amos_0059,spleen vs aorta,46,is_larger,Is the spleen bigger than the aorta?,Yes,Is spleen larger than aorta?,"(0.7820000052452087, 0.7820000052452087)"
amos_0069,spatial_topmost,67,extreme_position,Which organ is located at the top of this image?,right kidney,Which organ is upper most in this image?,"(0.8009999990463257, 0.8009999990463257)"
amos_0115,gall bladder vs postcava,65,is_brighter,Is the gallbladder more bright than the postcaval region?,No,Is gall bladder brighter than postcava?,"(0.47265625, 0.47265625)"
amos_0288,kidneys,74,target_count,How many kidneys can be seen in this image?,2,How many kidneys are present in this image?,"(0.7460939884185791, 0.7460939884185791)"
amos_0197,liver vs postcava,67,is_brighter,Is the liver more hyperintense compared to the postcava?,Yes,Is liver brighter than postcava?,"(0.6710000038146973, 0.6710000038146973)"
