scan_idx,label,slice_idx,question_type,question,answer,spacing_info
liver_93,cancer,441,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.6620000004768372, 0.6620000004768372)"
liver_19,cancer,427,is_present_target,Does this image display any liver tumor?,Yes,"(0.751953125, 0.751953125)"
liver_18,cancer,421,average_intensity,What is the average intensity of liver tumor(s) in this image?,100,"(0.921875, 0.921875)"
liver_63,cancer,81,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.7402340173721313, 0.7402340173721313)"
liver_93,cancer,441,count,How many liver tumors are there in this image?,7,"(0.6620000004768372, 0.6620000004768372)"
liver_40,cancer,83,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(1.0, 1.0)"
liver_4,liver,463,average_intensity,What is the average intensity of the liver in this image?,74,"(0.9023439884185791, 0.9023439884185791)"
liver_79,cancer,116,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.796875, 0.796875)"
liver_18,cancer,421,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.921875, 0.921875)"
liver_14,cancer,354,count,How many liver tumors are there in this image?,1,"(0.685546875, 0.685546875)"
liver_95,cancer,506,diameter,What is the diameter of the largest liver tumor in mm in this image?,33,"(0.7379999756813049, 0.7379999756813049)"
liver_22,cancer,132,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.9765620231628418, 0.9765620231628418)"
liver_26,cancer,318,count,How many liver tumors are there in this image?,1,"(0.86328125, 0.86328125)"
liver_35,cancer,60,diameter,What is the diameter of the largest liver tumor in mm in this image?,43,"(1.0, 1.0)"
liver_33,cancer,100,count,How many liver tumors are there in this image?,9,"(1.0, 1.0)"
liver_54,cancer,77,is_present_target,Does this image display any liver tumor?,Yes,"(0.828125, 0.828125)"
liver_1,liver,58,average_intensity,What is the average intensity of the liver in this image?,116,"(0.6757810115814209, 0.6757810115814209)"
liver_100,liver,584,diameter,What is the diameter of the liver in mm in this image?,213,"(0.69921875, 0.69921875)"
liver_59,liver,143,is_function_present,Is there any organ that synthesizes all major blood clotting factors and albumin in this image?,Yes,"(0.6835939884185791, 0.6835939884185791)"
liver_37,liver,101,surface_area,What is the total surface area of the liver in mm2 in this image?,23937,"(1.0, 1.0)"
liver_66,cancer,78,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.7128909826278687, 0.7128909826278687)"
liver_60,cancer,194,surface_area,What is the total surface area of the cancer in mm2 in this image?,716,"(0.7988280057907104, 0.7988280057907104)"
liver_130,cancer,505,is_present_target,Does this image display any liver tumor?,Yes,"(0.68359375, 0.68359375)"
liver_68,cancer,130,count,How many liver tumors are there in this image?,1,"(0.6660159826278687, 0.6660159826278687)"
liver_109,cancer,450,count,How many liver tumors are there in this image?,2,"(0.7630000114440918, 0.7630000114440918)"
liver_52,liver,134,is_healthy,Is the liver healthy in this image?,No,"(0.8359379768371582, 0.8359379768371582)"
liver_22,liver,132,is_healthy,Is the liver healthy in this image?,No,"(0.9765620231628418, 0.9765620231628418)"
liver_55,cancer,167,surface_area,What is the total surface area of the cancer in mm2 in this image?,314,"(0.6660159826278687, 0.6660159826278687)"
liver_42,liver,106,is_healthy,Is the liver healthy in this image?,No,"(1.0, 1.0)"
liver_36,liver,34,is_healthy,Is the liver healthy in this image?,No,"(1.0, 1.0)"
liver_1,cancer,58,count,How many liver tumors are there in this image?,2,"(0.6757810115814209, 0.6757810115814209)"
liver_94,cancer,577,count,How many liver tumors are there in this image?,4,"(0.837890625, 0.837890625)"
liver_36,cancer,34,is_present_target,Does this image display any liver tumor?,Yes,"(1.0, 1.0)"
liver_74,cancer,79,is_present_target,Does this image display any liver tumor?,Yes,"(0.8261719942092896, 0.8261719942092896)"
liver_65,liver,423,average_intensity,What is the average intensity of the liver in this image?,114,"(0.625, 0.625)"
liver_71,liver,75,is_function_present,Is there any organ that synthesizes all major blood clotting factors and albumin in this image?,Yes,"(0.556640625, 0.556640625)"
liver_116,liver,583,surface_area,What is the total surface area of the liver in mm2 in this image?,16652,"(0.7890625, 0.7890625)"
liver_104,liver,355,is_healthy,Is the liver healthy in this image?,No,"(0.781000018119812, 0.781000018119812)"
liver_104,cancer,355,is_present_target,Does this image display any liver tumor?,Yes,"(0.781000018119812, 0.781000018119812)"
liver_95,liver,506,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(0.7379999756813049, 0.7379999756813049)"
liver_5,cancer,458,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.96875, 0.96875)"
liver_82,liver,400,is_function_present,Is there any organ that filters blood from the digestive tract (portal blood) for detoxification in this image?,Yes,"(0.625, 0.625)"
liver_64,liver,189,diameter,What is the diameter of the liver in mm in this image?,226,"(0.7773439884185791, 0.7773439884185791)"
liver_57,liver,326,diameter,What is the diameter of the liver in mm in this image?,184,"(0.703125, 0.703125)"
liver_60,cancer,194,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.7988280057907104, 0.7988280057907104)"
liver_93,cancer,441,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.6620000004768372, 0.6620000004768372)"
liver_79,liver,116,surface_area,What is the total surface area of the liver in mm2 in this image?,10841,"(0.796875, 0.796875)"
liver_60,liver,194,average_intensity,What is the average intensity of the liver in this image?,82,"(0.7988280057907104, 0.7988280057907104)"
liver_86,liver,496,is_healthy,Is the liver healthy in this image?,No,"(0.68359375, 0.68359375)"
liver_126,liver,226,diameter,What is the diameter of the liver in mm in this image?,201,"(0.6640625, 0.6640625)"
liver_22,cancer,132,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.9765620231628418, 0.9765620231628418)"
liver_18,liver,421,surface_area,What is the total surface area of the liver in mm2 in this image?,6758,"(0.921875, 0.921875)"
liver_26,cancer,318,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.86328125, 0.86328125)"
