scan_idx_1,scan_idx_2,slice_idx_1,slice_idx_2,label,question_type,question,answer,spacing_info_1,spacing_info_2
liver_92,liver_109,464,450,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.6710000038146973, 0.6710000038146973)","(0.7630000114440918, 0.7630000114440918)"
liver_101,liver_56,505,195,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,3905,"(0.705078125, 0.705078125)","(0.8027340173721313, 0.8027340173721313)"
liver_116,liver_53,583,64,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-10093,"(0.7890625, 0.7890625)","(0.8500000238418579, 0.8500000238418579)"
liver_64,liver_121,189,260,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.7773439884185791, 0.7773439884185791)","(0.794921875, 0.794921875)"
liver_57,liver_5,326,458,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-15,"(0.703125, 0.703125)","(0.96875, 0.96875)"
liver_52,liver_68,134,130,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.8359379768371582, 0.8359379768371582)","(0.6660159826278687, 0.6660159826278687)"
liver_122,liver_51,221,136,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.689453125, 0.689453125)","(0.90234375, 0.90234375)"
liver_50,liver_17,136,404,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,163,"(0.90625, 0.90625)","(0.7441409826278687, 0.7441409826278687)"
liver_124,liver_10,235,341,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-24,"(0.69921875, 0.69921875)","(0.76953125, 0.76953125)"
liver_53,liver_104,64,355,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.8500000238418579, 0.8500000238418579)","(0.781000018119812, 0.781000018119812)"
liver_60,liver_56,194,195,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-4669,"(0.7988280057907104, 0.7988280057907104)","(0.8027340173721313, 0.8027340173721313)"
liver_86,liver_130,496,505,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.68359375, 0.68359375)","(0.68359375, 0.68359375)"
liver_99,liver_103,549,529,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-40,"(0.78125, 0.78125)","(0.85546875, 0.85546875)"
liver_7,liver_110,373,488,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,11103,"(0.748046875, 0.748046875)","(0.7200000286102295, 0.7200000286102295)"
liver_3,liver_75,361,70,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.693359375, 0.693359375)","(0.7578125, 0.7578125)"
liver_123,liver_127,262,631,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.748046875, 0.748046875)","(0.771484375, 0.771484375)"
liver_62,liver_46,114,50,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,158,"(0.6445310115814209, 0.6445310115814209)","(1.0, 1.0)"
liver_130,liver_32,505,69,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,6059,"(0.68359375, 0.68359375)","(1.0, 1.0)"
liver_28,liver_102,63,504,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-8645,"(1.0, 1.0)","(0.716796875, 0.716796875)"
liver_121,liver_21,260,388,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(0.794921875, 0.794921875)","(0.767578125, 0.767578125)"
liver_39,liver_48,50,146,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-5396,"(1.0, 1.0)","(0.9765620231628418, 0.9765620231628418)"
liver_109,liver_64,450,189,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,3461,"(0.7630000114440918, 0.7630000114440918)","(0.7773439884185791, 0.7773439884185791)"
liver_84,liver_79,549,116,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.7578125, 0.7578125)","(0.796875, 0.796875)"
liver_96,liver_98,607,569,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.74609375, 0.74609375)","(0.734375, 0.734375)"
liver_61,liver_73,149,98,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-5,"(0.7578120231628418, 0.7578120231628418)","(0.951171875, 0.951171875)"
liver_22,liver_94,132,577,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.9765620231628418, 0.9765620231628418)","(0.837890625, 0.837890625)"
liver_59,liver_24,143,198,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.6835939884185791, 0.6835939884185791)","(0.669921875, 0.669921875)"
liver_102,liver_126,504,226,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.716796875, 0.716796875)","(0.6640625, 0.6640625)"
liver_60,liver_27,194,428,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7988280057907104, 0.7988280057907104)","(0.73828125, 0.73828125)"
liver_23,liver_121,337,260,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-922,"(0.66015625, 0.66015625)","(0.794921875, 0.794921875)"
liver_82,liver_55,400,167,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-159,"(0.625, 0.625)","(0.6660159826278687, 0.6660159826278687)"
liver_12,liver_26,415,318,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,929,"(0.654296875, 0.654296875)","(0.86328125, 0.86328125)"
liver_123,liver_127,262,631,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-3758,"(0.748046875, 0.748046875)","(0.771484375, 0.771484375)"
liver_8,liver_27,379,428,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,34,"(0.84765625, 0.84765625)","(0.73828125, 0.73828125)"
liver_43,liver_32,59,69,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(1.0, 1.0)","(1.0, 1.0)"
liver_69,liver_65,202,423,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-10,"(0.75390625, 0.75390625)","(0.625, 0.625)"
liver_23,liver_121,337,260,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.66015625, 0.66015625)","(0.794921875, 0.794921875)"
liver_128,liver_97,529,574,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,6,"(0.78125, 0.78125)","(0.72265625, 0.72265625)"
liver_126,liver_45,226,34,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.6640625, 0.6640625)","(1.0, 1.0)"
liver_117,liver_68,462,130,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.6800000071525574, 0.6800000071525574)","(0.6660159826278687, 0.6660159826278687)"
liver_125,liver_35,217,60,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.712890625, 0.712890625)","(1.0, 1.0)"
liver_55,liver_12,167,415,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-257,"(0.6660159826278687, 0.6660159826278687)","(0.654296875, 0.654296875)"
liver_19,liver_119,427,230,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.751953125, 0.751953125)","(0.84375, 0.84375)"
liver_129,liver_44,159,97,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.705078125, 0.705078125)","(1.0, 1.0)"
liver_109,liver_64,450,189,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.7630000114440918, 0.7630000114440918)","(0.7773439884185791, 0.7773439884185791)"
liver_49,liver_112,151,420,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.955078125, 0.955078125)","(0.6399999856948853, 0.6399999856948853)"
liver_64,liver_121,189,260,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-4126,"(0.7773439884185791, 0.7773439884185791)","(0.794921875, 0.794921875)"
liver_54,liver_6,77,353,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-75,"(0.828125, 0.828125)","(0.873046875, 0.873046875)"
liver_116,liver_22,583,132,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.7890625, 0.7890625)","(0.9765620231628418, 0.9765620231628418)"
liver_91,liver_8,375,379,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,2230,"(0.8579999804496765, 0.8579999804496765)","(0.84765625, 0.84765625)"
liver_66,liver_13,78,363,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.7128909826278687, 0.7128909826278687)","(0.84765625, 0.84765625)"
liver_27,liver_35,428,60,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-16,"(0.73828125, 0.73828125)","(1.0, 1.0)"
liver_4,liver_11,463,416,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,1476,"(0.9023439884185791, 0.9023439884185791)","(0.671875, 0.671875)"
liver_25,liver_81,521,246,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.767578125, 0.767578125)","(0.703125, 0.703125)"
liver_80,liver_40,162,83,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-1,"(0.68359375, 0.68359375)","(1.0, 1.0)"
liver_37,liver_6,101,353,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(1.0, 1.0)","(0.873046875, 0.873046875)"
liver_82,liver_36,400,34,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-5798,"(0.625, 0.625)","(1.0, 1.0)"
liver_67,liver_75,126,70,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.7109379768371582, 0.7109379768371582)","(0.7578125, 0.7578125)"
liver_116,liver_108,583,535,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.7890625, 0.7890625)","(0.7289999723434448, 0.7289999723434448)"
liver_107,liver_50,380,136,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-8,"(0.7820000052452087, 0.7820000052452087)","(0.90625, 0.90625)"
liver_3,liver_75,361,70,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,11266,"(0.693359375, 0.693359375)","(0.7578125, 0.7578125)"
liver_3,liver_122,361,221,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.693359375, 0.693359375)","(0.689453125, 0.689453125)"
liver_54,liver_103,77,529,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.828125, 0.828125)","(0.85546875, 0.85546875)"
liver_13,liver_29,363,69,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.84765625, 0.84765625)","(1.0, 1.0)"
liver_30,liver_41,140,56,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(1.0, 1.0)","(1.0, 1.0)"
liver_9,liver_80,386,162,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,29,"(0.8203125, 0.8203125)","(0.68359375, 0.68359375)"
liver_128,liver_92,529,464,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-3637,"(0.78125, 0.78125)","(0.6710000038146973, 0.6710000038146973)"
liver_84,liver_79,549,116,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-9340,"(0.7578125, 0.7578125)","(0.796875, 0.796875)"
liver_19,liver_119,427,230,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-16118,"(0.751953125, 0.751953125)","(0.84375, 0.84375)"
liver_34,liver_80,75,162,liver,is_present_target_both,Is there liver in both images?,Yes,"(1.0, 1.0)","(0.68359375, 0.68359375)"
liver_26,liver_124,318,235,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,9,"(0.86328125, 0.86328125)","(0.69921875, 0.69921875)"
liver_73,liver_128,98,529,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,31,"(0.951171875, 0.951171875)","(0.78125, 0.78125)"
liver_63,liver_49,81,151,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.7402340173721313, 0.7402340173721313)","(0.955078125, 0.955078125)"
liver_36,liver_26,34,318,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,18,"(1.0, 1.0)","(0.86328125, 0.86328125)"
liver_11,liver_39,416,50,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.671875, 0.671875)","(1.0, 1.0)"
liver_116,liver_108,583,535,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,1505,"(0.7890625, 0.7890625)","(0.7289999723434448, 0.7289999723434448)"
liver_88,liver_67,447,126,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.7559999823570251, 0.7559999823570251)","(0.7109379768371582, 0.7109379768371582)"
liver_15,liver_33,327,100,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.654296875, 0.654296875)","(1.0, 1.0)"
liver_54,liver_81,77,246,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,8,"(0.828125, 0.828125)","(0.703125, 0.703125)"
liver_108,liver_86,535,496,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7289999723434448, 0.7289999723434448)","(0.68359375, 0.68359375)"
liver_23,liver_15,337,327,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.66015625, 0.66015625)","(0.654296875, 0.654296875)"
liver_38,liver_73,66,98,liver,is_present_target_both,Is there liver in both images?,Yes,"(1.0, 1.0)","(0.951171875, 0.951171875)"
liver_40,liver_105,83,493,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(1.0, 1.0)","(0.84375, 0.84375)"
liver_42,liver_123,106,262,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,6520,"(1.0, 1.0)","(0.748046875, 0.748046875)"
liver_3,liver_16,361,423,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,61,"(0.693359375, 0.693359375)","(0.703125, 0.703125)"
liver_55,liver_63,167,81,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.6660159826278687, 0.6660159826278687)","(0.7402340173721313, 0.7402340173721313)"
liver_62,liver_103,114,529,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,68,"(0.6445310115814209, 0.6445310115814209)","(0.85546875, 0.85546875)"
liver_24,liver_71,198,75,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.669921875, 0.669921875)","(0.556640625, 0.556640625)"
liver_52,liver_40,134,83,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,118,"(0.8359379768371582, 0.8359379768371582)","(1.0, 1.0)"
liver_42,liver_123,106,262,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(1.0, 1.0)","(0.748046875, 0.748046875)"
liver_72,liver_113,71,516,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.6777340173721313, 0.6777340173721313)","(0.781000018119812, 0.781000018119812)"
liver_9,liver_80,386,162,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,68,"(0.8203125, 0.8203125)","(0.68359375, 0.68359375)"
liver_70,liver_46,286,50,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.5976560115814209, 0.5976560115814209)","(1.0, 1.0)"
liver_117,liver_105,462,493,cancer,is_present_target_both,Is there liver tumor in both images?,No,"(0.6800000071525574, 0.6800000071525574)","(0.84375, 0.84375)"
liver_71,liver_49,75,151,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,172,"(0.556640625, 0.556640625)","(0.955078125, 0.955078125)"
liver_33,liver_78,100,166,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(0.7851560115814209, 0.7851560115814209)"
liver_42,liver_66,106,78,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-8,"(1.0, 1.0)","(0.7128909826278687, 0.7128909826278687)"
liver_31,liver_23,62,337,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,686,"(1.0, 1.0)","(0.66015625, 0.66015625)"
liver_76,liver_121,146,260,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-87,"(0.7421879768371582, 0.7421879768371582)","(0.794921875, 0.794921875)"
liver_61,liver_85,149,417,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,No,"(0.7578120231628418, 0.7578120231628418)","(0.64453125, 0.64453125)"
liver_43,liver_114,59,423,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(1.0, 1.0)","(0.7820000052452087, 0.7820000052452087)"
liver_52,liver_64,134,189,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,3000,"(0.8359379768371582, 0.8359379768371582)","(0.7773439884185791, 0.7773439884185791)"
liver_116,liver_53,583,64,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.7890625, 0.7890625)","(0.8500000238418579, 0.8500000238418579)"
liver_25,liver_4,521,463,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,11861,"(0.767578125, 0.767578125)","(0.9023439884185791, 0.9023439884185791)"
liver_37,liver_6,101,353,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-317,"(1.0, 1.0)","(0.873046875, 0.873046875)"
liver_111,liver_25,351,521,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-21,"(0.7820000052452087, 0.7820000052452087)","(0.767578125, 0.767578125)"
liver_16,liver_43,423,59,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-40,"(0.703125, 0.703125)","(1.0, 1.0)"
liver_52,liver_64,134,189,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(0.8359379768371582, 0.8359379768371582)","(0.7773439884185791, 0.7773439884185791)"
liver_74,liver_37,79,101,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.8261719942092896, 0.8261719942092896)","(1.0, 1.0)"
liver_124,liver_128,235,529,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,9727,"(0.69921875, 0.69921875)","(0.78125, 0.78125)"
liver_10,liver_52,341,134,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.76953125, 0.76953125)","(0.8359379768371582, 0.8359379768371582)"
liver_1,liver_16,58,423,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.6757810115814209, 0.6757810115814209)","(0.703125, 0.703125)"
liver_90,liver_102,440,504,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-15,"(0.781000018119812, 0.781000018119812)","(0.716796875, 0.716796875)"
liver_92,liver_109,464,450,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,32,"(0.6710000038146973, 0.6710000038146973)","(0.7630000114440918, 0.7630000114440918)"
liver_2,liver_29,457,69,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.775390625, 0.775390625)","(1.0, 1.0)"
liver_100,liver_10,584,341,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-9340,"(0.69921875, 0.69921875)","(0.76953125, 0.76953125)"
liver_110,liver_36,488,34,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,12,"(0.7200000286102295, 0.7200000286102295)","(1.0, 1.0)"
liver_120,liver_53,263,64,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(0.744140625, 0.744140625)","(0.8500000238418579, 0.8500000238418579)"
liver_25,liver_81,521,246,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,314,"(0.767578125, 0.767578125)","(0.703125, 0.703125)"
liver_79,liver_16,116,423,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.796875, 0.796875)","(0.703125, 0.703125)"
liver_17,liver_13,404,363,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,-81,"(0.7441409826278687, 0.7441409826278687)","(0.84765625, 0.84765625)"
liver_130,liver_43,505,59,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.68359375, 0.68359375)","(1.0, 1.0)"
liver_45,liver_10,34,341,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(1.0, 1.0)","(0.76953125, 0.76953125)"
liver_70,liver_25,286,521,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.5976560115814209, 0.5976560115814209)","(0.767578125, 0.767578125)"
liver_74,liver_111,79,351,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.8261719942092896, 0.8261719942092896)","(0.7820000052452087, 0.7820000052452087)"
liver_29,liver_25,69,521,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(1.0, 1.0)","(0.767578125, 0.767578125)"
liver_5,liver_31,458,62,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.96875, 0.96875)","(1.0, 1.0)"
liver_31,liver_23,62,337,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,No,"(1.0, 1.0)","(0.66015625, 0.66015625)"
liver_26,liver_100,318,584,cancer,surface_evolution,What is the difference in total surface area in mm2 of liver tumor between the first and second image?,4434,"(0.86328125, 0.86328125)","(0.69921875, 0.69921875)"
liver_52,liver_68,134,130,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,36,"(0.8359379768371582, 0.8359379768371582)","(0.6660159826278687, 0.6660159826278687)"
liver_31,liver_105,62,493,liver,is_present_target_both,Is there liver in both images?,Yes,"(1.0, 1.0)","(0.84375, 0.84375)"
liver_67,liver_75,126,70,liver,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,"(0.7109379768371582, 0.7109379768371582)","(0.7578125, 0.7578125)"
liver_30,liver_116,140,583,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(0.7890625, 0.7890625)"
liver_59,liver_24,143,198,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,6637,"(0.6835939884185791, 0.6835939884185791)","(0.669921875, 0.669921875)"
liver_77,liver_18,77,421,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.781000018119812, 0.781000018119812)","(0.921875, 0.921875)"
