scan_idx_1,scan_idx_2,slice_idx_1,slice_idx_2,question_type,question,answer,label,spacing_info_1,spacing_info_2
amos_0048,amos_0282,81,170,is_present_target_both,Is there right kidney in both images?,Yes,,"(0.6497395634651184, 0.6497395634651184)","(0.787109375, 0.787109375)"
amos_0092,amos_0180,81,73,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-38,liver,"(0.7820000052452087, 0.7820000052452087)","(0.5377604365348816, 0.5377604365348816)"
amos_0208,amos_0140,188,101,is_larger_comparison,Is esophagus bigger in the first image than the second image?,Yes,esophagus,"(0.640625, 0.640625)","(0.5989583134651184, 0.5989583134651184)"
amos_0133,amos_0288,66,116,diameter_evolution,What is the difference in diameter length of aorta between the first and second image?,71,aorta,"(0.453125, 0.453125)","(0.7460939884185791, 0.7460939884185791)"
amos_0188,amos_0403,69,71,is_present_target_both,Is there gall bladder in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.5625, 0.5625)"
amos_0097,amos_0052,69,68,is_larger_comparison,Is left kidney bigger in the first image than the second image?,Yes,left kidney,"(1.0679999589920044, 1.0679999589920044)","(0.6106770634651184, 0.6106770634651184)"
amos_0023,amos_0007,66,79,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.5182291865348816, 0.5182291865348816)"
amos_0087,amos_0339,67,170,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.583984375, 0.583984375)"
amos_0408,amos_0081,71,69,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.6145833134651184, 0.6145833134651184)","(0.5533854365348816, 0.5533854365348816)"
amos_0097,amos_0294,69,155,is_bright_compare,Is left kidney brighter in the first image than the second image?,Yes,left kidney,"(1.0679999589920044, 1.0679999589920044)","(0.677734375, 0.677734375)"
amos_0067,amos_0070,82,72,surface_evolution,What is the difference in surface area of stomach between the first and second image?,3176,stomach,"(0.8539999723434448, 0.8539999723434448)","(0.5234375, 0.5234375)"
amos_0218,amos_0203,151,200,surface_evolution,What is the difference in surface area of liver between the first and second image?,-4768,liver,"(0.7558590173721313, 0.7558590173721313)","(0.658203125, 0.658203125)"
amos_0311,amos_0203,108,142,is_larger_comparison,Is duodenum bigger in the first image than the second image?,No,duodenum,"(0.591796875, 0.591796875)","(0.658203125, 0.658203125)"
amos_0392,amos_0154,65,70,diameter_evolution,What is the difference in diameter length of right adrenal gland between the first and second image?,0,right adrenal gland,"(0.5364583134651184, 0.5364583134651184)","(0.7820000052452087, 0.7820000052452087)"
amos_0158,amos_0058,66,74,diameter_evolution,What is the difference in diameter length of left adrenal gland between the first and second image?,3,left adrenal gland,"(0.781000018119812, 0.781000018119812)","(0.5989583134651184, 0.5989583134651184)"
amos_0395,amos_0196,67,72,is_present_target_both,Is there right adrenal gland in both images?,Yes,,"(0.4622395932674408, 0.4622395932674408)","(0.7820000052452087, 0.7820000052452087)"
amos_0126,amos_0301,103,188,is_present_target_both,Is there aorta in both images?,Yes,,"(0.6890000104904175, 0.6890000104904175)","(0.7460939884185791, 0.7460939884185791)"
amos_0162,amos_0380,51,78,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.6067708134651184, 0.6067708134651184)"
amos_0098,amos_0086,82,66,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-23,liver,"(0.7820000052452087, 0.7820000052452087)","(0.8579999804496765, 0.8579999804496765)"
amos_0366,amos_0403,78,85,is_present_target_both,Is there esophagus in both images?,Yes,,"(0.53515625, 0.53515625)","(0.5625, 0.5625)"
amos_0264,amos_0116,159,69,is_bright_compare,Is left kidney brighter in the first image than the second image?,No,left kidney,"(0.728515625, 0.728515625)","(0.9070000052452087, 0.9070000052452087)"
amos_0112,amos_0073,75,73,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.6184895634651184, 0.6184895634651184)","(0.7820000052452087, 0.7820000052452087)"
amos_0124,amos_0059,70,63,surface_evolution,What is the difference in surface area of stomach between the first and second image?,2466,stomach,"(0.9490000009536743, 0.9490000009536743)","(0.7820000052452087, 0.7820000052452087)"
amos_0383,amos_0038,24,20,is_bright_compare,Is bladder brighter in the first image than the second image?,No,bladder,"(0.60546875, 0.60546875)","(0.781000018119812, 0.781000018119812)"
amos_0016,amos_0070,65,57,is_present_target_both,Is there left kidney in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.5234375, 0.5234375)"
amos_0208,amos_0204,148,145,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.640625, 0.640625)","(0.658203125, 0.658203125)"
amos_0112,amos_0283,77,156,surface_evolution,What is the difference in surface area of pancreas between the first and second image?,-135,pancreas,"(0.6184895634651184, 0.6184895634651184)","(0.626953125, 0.626953125)"
amos_0166,amos_0195,59,62,surface_evolution,What is the difference in surface area of right kidney between the first and second image?,407,right kidney,"(0.7820000052452087, 0.7820000052452087)","(0.953000009059906, 0.953000009059906)"
amos_0119,amos_0076,70,62,is_bright_compare,Is left kidney brighter in the first image than the second image?,Yes,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.4830729067325592, 0.4830729067325592)"
amos_0097,amos_0052,69,68,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,-784,left kidney,"(1.0679999589920044, 1.0679999589920044)","(0.6106770634651184, 0.6106770634651184)"
amos_0013,amos_0357,12,48,surface_evolution,What is the difference in surface area of bladder between the first and second image?,3484,bladder,"(0.781000018119812, 0.781000018119812)","(0.619140625, 0.619140625)"
amos_0235,amos_0381,158,66,is_larger_comparison,Is left kidney bigger in the first image than the second image?,No,left kidney,"(0.6875, 0.6875)","(0.6458333134651184, 0.6458333134651184)"
amos_0281,amos_0071,173,72,diameter_evolution,What is the difference in diameter length of postcava between the first and second image?,-7,postcava,"(0.5703125, 0.5703125)","(0.8349999785423279, 0.8349999785423279)"
amos_0399,amos_0323,63,173,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.4752604067325592, 0.4752604067325592)","(0.685546875, 0.685546875)"
amos_0090,amos_0136,90,105,diameter_evolution,What is the difference in diameter length of aorta between the first and second image?,45,aorta,"(1.0369999408721924, 1.0369999408721924)","(0.7889999747276306, 0.7889999747276306)"
amos_0119,amos_0076,70,62,is_larger_comparison,Is left kidney bigger in the first image than the second image?,Yes,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.4830729067325592, 0.4830729067325592)"
amos_0294,amos_0052,201,81,is_present_target_both,Is there liver in both images?,Yes,,"(0.677734375, 0.677734375)","(0.6106770634651184, 0.6106770634651184)"
amos_0152,amos_0015,62,70,is_present_target_both,Is there spleen in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.6497395634651184, 0.6497395634651184)"
amos_0161,amos_0370,59,74,is_present_target_both,Is there left adrenal gland in both images?,Yes,,"(0.8579999804496765, 0.8579999804496765)","(0.6458333134651184, 0.6458333134651184)"
amos_0372,amos_0090,68,70,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.5807291865348816, 0.5807291865348816)","(1.0369999408721924, 1.0369999408721924)"
amos_0143,amos_0357,28,176,surface_evolution,What is the difference in surface area of liver between the first and second image?,3594,liver,"(0.5299479365348816, 0.5299479365348816)","(0.619140625, 0.619140625)"
amos_0391,amos_0010,67,86,surface_evolution,What is the difference in surface area of spleen between the first and second image?,-1293,spleen,"(0.97265625, 0.97265625)","(0.8080000281333923, 0.8080000281333923)"
amos_0090,amos_0293,70,170,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(1.0369999408721924, 1.0369999408721924)","(0.66796875, 0.66796875)"
amos_0196,amos_0317,61,120,is_present_target_both,Is there right kidney in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.615234375, 0.615234375)"
amos_0365,amos_0311,76,132,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.6015625, 0.6015625)","(0.591796875, 0.591796875)"
amos_0166,amos_0195,59,62,is_bright_compare,Is right kidney brighter in the first image than the second image?,No,right kidney,"(0.7820000052452087, 0.7820000052452087)","(0.953000009059906, 0.953000009059906)"
amos_0304,amos_0040,119,61,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.64453125, 0.64453125)","(0.7820000052452087, 0.7820000052452087)"
amos_0150,amos_0377,75,74,is_present_target_both,Is there right adrenal gland in both images?,Yes,,"(0.6432291865348816, 0.6432291865348816)","(0.4479166567325592, 0.4479166567325592)"
amos_0379,amos_0185,99,74,is_larger_comparison,Is postcava bigger in the first image than the second image?,Yes,postcava,"(0.6080729365348816, 0.6080729365348816)","(0.9300000071525574, 0.9300000071525574)"
amos_0043,amos_0334,84,74,is_present_target_both,Is there postcava in both images?,Yes,,"(0.8429999947547913, 0.8429999947547913)","(0.544921875, 0.544921875)"
amos_0110,amos_0192,65,61,surface_evolution,What is the difference in surface area of left kidney between the first and second image?,-510,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.7820000052452087, 0.7820000052452087)"
amos_0226,amos_0273,153,149,is_bright_compare,Is left kidney brighter in the first image than the second image?,No,left kidney,"(0.6171875, 0.6171875)","(0.75, 0.75)"
amos_0144,amos_0308,54,51,diameter_evolution,What is the difference in diameter length of duodenum between the first and second image?,53,duodenum,"(0.8460000157356262, 0.8460000157356262)","(0.62890625, 0.62890625)"
amos_0110,amos_0192,65,61,is_bright_compare,Is left kidney brighter in the first image than the second image?,Yes,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.7820000052452087, 0.7820000052452087)"
amos_0361,amos_0263,67,68,is_bright_compare,Is right adrenal gland brighter in the first image than the second image?,No,right adrenal gland,"(0.52734375, 0.52734375)","(0.67578125, 0.67578125)"
amos_0135,amos_0027,73,72,surface_evolution,What is the difference in surface area of spleen between the first and second image?,-3439,spleen,"(0.9879999756813049, 0.9879999756813049)","(0.7820000052452087, 0.7820000052452087)"
amos_0049,amos_0057,66,60,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.5078125, 0.5078125)","(0.6510416865348816, 0.6510416865348816)"
amos_0313,amos_0106,167,71,diameter_evolution,What is the difference in diameter length of pancreas between the first and second image?,-26,pancreas,"(0.724609375, 0.724609375)","(0.6458333134651184, 0.6458333134651184)"
amos_0157,amos_0258,69,58,surface_evolution,What is the difference in surface area of gall bladder between the first and second image?,836,gall bladder,"(0.7820000052452087, 0.7820000052452087)","(0.61328125, 0.61328125)"
amos_0197,amos_0131,82,86,diameter_evolution,What is the difference in diameter length of pancreas between the first and second image?,-1,pancreas,"(0.6710000038146973, 0.6710000038146973)","(0.6510416865348816, 0.6510416865348816)"
amos_0600,amos_0013,46,60,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(1.1875, 1.1875)","(0.781000018119812, 0.781000018119812)"
amos_0015,amos_0042,57,65,surface_evolution,What is the difference in surface area of duodenum between the first and second image?,-12,duodenum,"(0.6497395634651184, 0.6497395634651184)","(0.7820000052452087, 0.7820000052452087)"
amos_0097,amos_0398,78,77,is_larger_comparison,Is liver bigger in the first image than the second image?,Yes,liver,"(1.0679999589920044, 1.0679999589920044)","(0.6276041865348816, 0.6276041865348816)"
amos_0176,amos_0365,74,76,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.7509999871253967, 0.7509999871253967)","(0.6015625, 0.6015625)"
amos_0200,amos_0208,65,170,is_bright_compare,Is gall bladder brighter in the first image than the second image?,No,gall bladder,"(0.8999999761581421, 0.8999999761581421)","(0.640625, 0.640625)"
amos_0396,amos_0296,75,147,surface_evolution,What is the difference in surface area of spleen between the first and second image?,-255,spleen,"(0.6432291865348816, 0.6432291865348816)","(0.7949219942092896, 0.7949219942092896)"
amos_0358,amos_0405,272,69,is_present_target_both,Is there liver in both images?,Yes,,"(0.6191409826278687, 0.6191409826278687)","(0.5885416865348816, 0.5885416865348816)"
amos_0189,amos_0150,82,81,is_larger_comparison,Is esophagus bigger in the first image than the second image?,No,esophagus,"(0.4791666567325592, 0.4791666567325592)","(0.6432291865348816, 0.6432291865348816)"
amos_0044,amos_0185,38,45,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.5078125, 0.5078125)","(0.9300000071525574, 0.9300000071525574)"
amos_0054,amos_0129,70,109,surface_evolution,What is the difference in surface area of aorta between the first and second image?,2515,aorta,"(0.609375, 0.609375)","(0.7820000052452087, 0.7820000052452087)"
amos_0064,amos_0396,59,71,is_bright_compare,Is gall bladder brighter in the first image than the second image?,Yes,gall bladder,"(0.7820000052452087, 0.7820000052452087)","(0.6432291865348816, 0.6432291865348816)"
amos_0140,amos_0286,12,13,diameter_evolution,What is the difference in diameter length of prostate/uterus between the first and second image?,6,prostate/uterus,"(0.5989583134651184, 0.5989583134651184)","(0.703125, 0.703125)"
amos_0235,amos_0024,139,66,is_present_target_both,Is there pancreas in both images?,Yes,,"(0.6875, 0.6875)","(0.7820000052452087, 0.7820000052452087)"
amos_0301,amos_0092,113,70,is_present_target_both,Is there right kidney in both images?,Yes,,"(0.7460939884185791, 0.7460939884185791)","(0.7820000052452087, 0.7820000052452087)"
amos_0104,amos_0297,59,195,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.76953125, 0.76953125)"
amos_0142,amos_0066,13,24,is_present_target_both,Is there prostate/uterus in both images?,Yes,,"(0.6080729365348816, 0.6080729365348816)","(0.7820000052452087, 0.7820000052452087)"
amos_0383,amos_0038,24,20,surface_evolution,What is the difference in surface area of bladder between the first and second image?,1769,bladder,"(0.60546875, 0.60546875)","(0.781000018119812, 0.781000018119812)"
amos_0373,amos_0328,74,73,surface_evolution,What is the difference in surface area of spleen between the first and second image?,175,spleen,"(0.6158854365348816, 0.6158854365348816)","(0.6796875, 0.6796875)"
amos_0043,amos_0292,10,20,is_larger_comparison,Is bladder bigger in the first image than the second image?,No,bladder,"(0.8429999947547913, 0.8429999947547913)","(0.693359375, 0.693359375)"
amos_0404,amos_0081,71,69,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.53515625, 0.53515625)","(0.5533854365348816, 0.5533854365348816)"
amos_0007,amos_0384,79,68,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.5182291865348816, 0.5182291865348816)","(0.4622395932674408, 0.4622395932674408)"
amos_0255,amos_0208,111,120,diameter_evolution,What is the difference in diameter length of duodenum between the first and second image?,-3,duodenum,"(0.751953125, 0.751953125)","(0.640625, 0.640625)"
amos_0276,amos_0104,116,51,surface_evolution,What is the difference in surface area of right kidney between the first and second image?,422,right kidney,"(0.611328125, 0.611328125)","(0.7820000052452087, 0.7820000052452087)"
amos_0015,amos_0133,89,57,is_present_target_both,Is there postcava in both images?,Yes,,"(0.6497395634651184, 0.6497395634651184)","(0.453125, 0.453125)"
amos_0200,amos_0208,65,170,surface_evolution,What is the difference in surface area of gall bladder between the first and second image?,-239,gall bladder,"(0.8999999761581421, 0.8999999761581421)","(0.640625, 0.640625)"
amos_0060,amos_0035,91,67,is_present_target_both,Is there spleen in both images?,Yes,,"(0.52734375, 0.52734375)","(0.9610000252723694, 0.9610000252723694)"
amos_0054,amos_0129,70,109,is_larger_comparison,Is aorta bigger in the first image than the second image?,No,aorta,"(0.609375, 0.609375)","(0.7820000052452087, 0.7820000052452087)"
amos_0102,amos_0358,66,245,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.6315104365348816, 0.6315104365348816)","(0.6191409826278687, 0.6191409826278687)"
amos_0071,amos_0134,72,39,is_present_target_both,Is there postcava in both images?,Yes,,"(0.8349999785423279, 0.8349999785423279)","(0.8539999723434448, 0.8539999723434448)"
amos_0264,amos_0307,159,155,is_bright_compare,Is left kidney brighter in the first image than the second image?,No,left kidney,"(0.728515625, 0.728515625)","(0.671875, 0.671875)"
amos_0135,amos_0027,73,72,is_larger_comparison,Is spleen bigger in the first image than the second image?,Yes,spleen,"(0.9879999756813049, 0.9879999756813049)","(0.7820000052452087, 0.7820000052452087)"
amos_0188,amos_0366,58,52,is_present_target_both,Is there right kidney in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.53515625, 0.53515625)"
amos_0308,amos_0304,71,144,surface_evolution,What is the difference in surface area of spleen between the first and second image?,-708,spleen,"(0.62890625, 0.62890625)","(0.64453125, 0.64453125)"
amos_0127,amos_0197,52,67,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.6710000038146973, 0.6710000038146973)"
amos_0013,amos_0357,12,48,is_bright_compare,Is bladder brighter in the first image than the second image?,Yes,bladder,"(0.781000018119812, 0.781000018119812)","(0.619140625, 0.619140625)"
amos_0223,amos_0207,155,250,diameter_evolution,What is the difference in diameter length of left adrenal gland between the first and second image?,-7,left adrenal gland,"(0.650390625, 0.650390625)","(0.7929689884185791, 0.7929689884185791)"
amos_0318,amos_0377,68,73,is_bright_compare,Is pancreas brighter in the first image than the second image?,Yes,pancreas,"(0.6484375, 0.6484375)","(0.4479166567325592, 0.4479166567325592)"
amos_0217,amos_0374,160,67,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.6875, 0.6875)","(0.640625, 0.640625)"
amos_0301,amos_0092,146,81,is_bright_compare,Is stomach brighter in the first image than the second image?,Yes,stomach,"(0.7460939884185791, 0.7460939884185791)","(0.7820000052452087, 0.7820000052452087)"
amos_0189,amos_0150,82,81,is_bright_compare,Is esophagus brighter in the first image than the second image?,Yes,esophagus,"(0.4791666567325592, 0.4791666567325592)","(0.6432291865348816, 0.6432291865348816)"
amos_0358,amos_0180,245,64,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.6191409826278687, 0.6191409826278687)","(0.5377604365348816, 0.5377604365348816)"
amos_0366,amos_0231,72,75,diameter_evolution,What is the difference in diameter length of stomach between the first and second image?,60,stomach,"(0.53515625, 0.53515625)","(0.7675780057907104, 0.7675780057907104)"
amos_0073,amos_0022,90,90,is_present_target_both,Is there aorta in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.5833333134651184, 0.5833333134651184)"
amos_0162,amos_0170,51,70,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.8849999904632568, 0.8849999904632568)"
amos_0043,amos_0326,62,51,diameter_evolution,What is the difference in diameter length of right kidney between the first and second image?,-8,right kidney,"(0.8429999947547913, 0.8429999947547913)","(0.5859375, 0.5859375)"
amos_0140,amos_0218,76,123,diameter_evolution,What is the difference in diameter length of pancreas between the first and second image?,-2,pancreas,"(0.5989583134651184, 0.5989583134651184)","(0.7558590173721313, 0.7558590173721313)"
amos_0188,amos_0374,81,82,is_present_target_both,Is there esophagus in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.640625, 0.640625)"
amos_0008,amos_0132,81,64,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.6158854365348816, 0.6158854365348816)","(0.9610000252723694, 0.9610000252723694)"
amos_0154,amos_0226,61,153,diameter_evolution,What is the difference in diameter length of left kidney between the first and second image?,-13,left kidney,"(0.7820000052452087, 0.7820000052452087)","(0.6171875, 0.6171875)"
amos_0127,amos_0279,16,80,is_larger_comparison,Is prostate/uterus bigger in the first image than the second image?,Yes,prostate/uterus,"(0.7820000052452087, 0.7820000052452087)","(0.703125, 0.703125)"
amos_0185,amos_0023,63,77,surface_evolution,What is the difference in surface area of stomach between the first and second image?,2306,stomach,"(0.9300000071525574, 0.9300000071525574)","(0.7820000052452087, 0.7820000052452087)"
amos_0067,amos_0070,82,72,is_bright_compare,Is stomach brighter in the first image than the second image?,No,stomach,"(0.8539999723434448, 0.8539999723434448)","(0.5234375, 0.5234375)"
amos_0332,amos_0294,205,217,surface_evolution,What is the difference in surface area of esophagus between the first and second image?,485,esophagus,"(0.68359375, 0.68359375)","(0.677734375, 0.677734375)"
amos_0231,amos_0376,71,74,is_present_target_both,Is there right adrenal gland in both images?,Yes,,"(0.7675780057907104, 0.7675780057907104)","(0.54296875, 0.54296875)"
amos_0231,amos_0175,71,109,diameter_evolution,What is the difference in diameter length of aorta between the first and second image?,67,aorta,"(0.7675780057907104, 0.7675780057907104)","(0.7820000052452087, 0.7820000052452087)"
amos_0249,amos_0245,149,123,diameter_evolution,What is the difference in diameter length of stomach between the first and second image?,-29,stomach,"(0.6328125, 0.6328125)","(0.8125, 0.8125)"
amos_0278,amos_0364,225,91,is_larger_comparison,Is aorta bigger in the first image than the second image?,Yes,aorta,"(0.693359375, 0.693359375)","(0.48046875, 0.48046875)"
amos_0171,amos_0391,74,66,is_larger_comparison,Is left adrenal gland bigger in the first image than the second image?,Yes,left adrenal gland,"(0.6510416865348816, 0.6510416865348816)","(0.97265625, 0.97265625)"
amos_0208,amos_0140,188,101,surface_evolution,What is the difference in surface area of esophagus between the first and second image?,-371,esophagus,"(0.640625, 0.640625)","(0.5989583134651184, 0.5989583134651184)"
amos_0332,amos_0294,205,217,is_larger_comparison,Is esophagus bigger in the first image than the second image?,No,esophagus,"(0.68359375, 0.68359375)","(0.677734375, 0.677734375)"
amos_0173,amos_0362,66,61,is_larger_comparison,Is right kidney bigger in the first image than the second image?,Yes,right kidney,"(0.6341145634651184, 0.6341145634651184)","(0.6497395634651184, 0.6497395634651184)"
amos_0005,amos_0410,58,77,diameter_evolution,What is the difference in diameter length of pancreas between the first and second image?,91,pancreas,"(0.5690104365348816, 0.5690104365348816)","(0.5833333134651184, 0.5833333134651184)"
amos_0257,amos_0357,76,159,common_organs,Is there at least 4 common organs displayed in both images?,Yes,,"(0.72265625, 0.72265625)","(0.619140625, 0.619140625)"
amos_0162,amos_0125,12,21,is_present_target_both,Is there prostate/uterus in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.5546875, 0.5546875)"
amos_0152,amos_0015,65,82,surface_evolution,What is the difference in surface area of liver between the first and second image?,1308,liver,"(0.7820000052452087, 0.7820000052452087)","(0.6497395634651184, 0.6497395634651184)"
amos_0021,amos_0005,70,61,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.8920000195503235, 0.8920000195503235)","(0.5690104365348816, 0.5690104365348816)"
amos_0064,amos_0396,59,71,is_larger_comparison,Is gall bladder bigger in the first image than the second image?,No,gall bladder,"(0.7820000052452087, 0.7820000052452087)","(0.6432291865348816, 0.6432291865348816)"
amos_0215,amos_0600,161,47,surface_evolution,What is the difference in surface area of pancreas between the first and second image?,-437,pancreas,"(0.69140625, 0.69140625)","(1.1875, 1.1875)"
amos_0383,amos_0038,24,20,is_larger_comparison,Is bladder bigger in the first image than the second image?,No,bladder,"(0.60546875, 0.60546875)","(0.781000018119812, 0.781000018119812)"
amos_0162,amos_0380,59,72,surface_evolution,What is the difference in surface area of right kidney between the first and second image?,418,right kidney,"(0.7820000052452087, 0.7820000052452087)","(0.6067708134651184, 0.6067708134651184)"
amos_0043,amos_0292,10,20,is_bright_compare,Is bladder brighter in the first image than the second image?,Yes,bladder,"(0.8429999947547913, 0.8429999947547913)","(0.693359375, 0.693359375)"
amos_0121,amos_0017,67,75,is_bright_compare,Is spleen brighter in the first image than the second image?,Yes,spleen,"(0.9459999799728394, 0.9459999799728394)","(0.7820000052452087, 0.7820000052452087)"
amos_0308,amos_0304,71,144,is_larger_comparison,Is spleen bigger in the first image than the second image?,Yes,spleen,"(0.62890625, 0.62890625)","(0.64453125, 0.64453125)"
amos_0288,amos_0105,19,9,diameter_evolution,What is the difference in diameter length of bladder between the first and second image?,-10,bladder,"(0.7460939884185791, 0.7460939884185791)","(0.5768229365348816, 0.5768229365348816)"
amos_0309,amos_0368,196,64,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,-15,liver,"(0.70703125, 0.70703125)","(0.56640625, 0.56640625)"
amos_0402,amos_0047,62,70,is_present_target_both,Is there left kidney in both images?,Yes,,"(0.5520833134651184, 0.5520833134651184)","(0.5885416865348816, 0.5885416865348816)"
amos_0235,amos_0381,158,66,is_bright_compare,Is left kidney brighter in the first image than the second image?,Yes,left kidney,"(0.6875, 0.6875)","(0.6458333134651184, 0.6458333134651184)"
amos_0043,amos_0292,10,20,surface_evolution,What is the difference in surface area of bladder between the first and second image?,8249,bladder,"(0.8429999947547913, 0.8429999947547913)","(0.693359375, 0.693359375)"
amos_0064,amos_0396,57,72,common_organs,Is there at least 2 common organs displayed in both images?,Yes,,"(0.7820000052452087, 0.7820000052452087)","(0.6432291865348816, 0.6432291865348816)"
amos_0226,amos_0273,153,149,is_larger_comparison,Is left kidney bigger in the first image than the second image?,No,left kidney,"(0.6171875, 0.6171875)","(0.75, 0.75)"
amos_0112,amos_0283,84,185,diameter_evolution,What is the difference in diameter length of esophagus between the first and second image?,-7,esophagus,"(0.6184895634651184, 0.6184895634651184)","(0.626953125, 0.626953125)"
amos_0097,amos_0398,78,77,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,liver,"(1.0679999589920044, 1.0679999589920044)","(0.6276041865348816, 0.6276041865348816)"
amos_0311,amos_0203,108,142,surface_evolution,What is the difference in surface area of duodenum between the first and second image?,392,duodenum,"(0.591796875, 0.591796875)","(0.658203125, 0.658203125)"
amos_0152,amos_0015,65,82,is_bright_compare,Is liver brighter in the first image than the second image?,Yes,liver,"(0.7820000052452087, 0.7820000052452087)","(0.6497395634651184, 0.6497395634651184)"
